
Outlet,
0000,0       ,
0.000,0.000,0.000,
0.000,0.000,0.000,
Outlet,
0001,1e-05   ,
0.000,0.000,0.000,
0.000,0.000,0.000,
Outlet,
0002,8.792e-05,
-0.000,0.000,0.000,
0.000,0.000,0.000,
Outlet,
0003,0.000121,
-0.000,0.000,0.000,
0.000,0.000,0.000,
Outlet,
0004,0.000157,
-0.000,0.000,0.000,
0.000,0.000,0.000,
Outlet,
0005,0.0001898,
-0.000,0.000,0.000,
0.000,0.000,0.000,
Outlet,
0006,0.0002215,
-0.000,0.000,0.000,
0.000,0.000,0.000,
